Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	262556	0.105	0
2	243199373	280260	0.115	0
3	198022430	230101	0.116	0
4	191154276	218504	0.114	0
5	180915260	207437	0.115	0
6	171115067	200422	0.117	0
7	159138663	177516	0.112	0
8	146364022	168713	0.115	0
9	141213431	130357	0.092	-1
10	135534747	153992	0.114	0
11	135006516	154005	0.114	0
12	133851895	153833	0.115	0
13	115169878	111996	0.097	0
14	107349540	103772	0.097	0
15	102531392	93156	0.091	-1
16	90354753	92143	0.102	0
17	81195210	90539	0.112	0
18	78077248	89506	0.115	0
19	59128983	65294	0.11	0
20	63025520	73056	0.116	0
21	48129895	42989	0.089	-1
22	51304566	39750	0.077	-1
Odchylenie standardowe dla osobnika: 0.01112
