Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	178364	0.072	0
2	243199373	163300	0.067	0
3	198022430	128637	0.065	0
4	191154276	111077	0.058	-1
5	180915260	117186	0.065	0
6	171115067	118373	0.069	0
7	159138663	113791	0.072	0
8	146364022	100579	0.069	0
9	141213431	90444	0.064	0
10	135534747	107811	0.08	0
11	135006516	97448	0.072	0
12	133851895	97282	0.073	0
13	115169878	58453	0.051	-1
14	107349540	64698	0.06	0
15	102531392	65909	0.064	0
16	90354753	77844	0.086	0
17	81195210	78261	0.096	1
18	78077248	52035	0.067	0
19	59128983	66497	0.112	1
20	63025520	54325	0.086	0
21	48129895	41643	0.087	1
22	51304566	40438	0.079	0
Odchylenie standardowe dla osobnika: 0.01338
Srednia arytmetyczna: 0.07336
