Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	558655	0.224	0
2	243199373	517950	0.213	0
3	198022430	396011	0.2	0
4	191154276	328363	0.172	-1
5	180915260	365589	0.202	0
6	171115067	381723	0.223	0
7	159138663	347047	0.218	0
8	146364022	317487	0.217	0
9	141213431	290108	0.205	0
10	135534747	371797	0.274	0
11	135006516	319171	0.236	0
12	133851895	298623	0.223	0
13	115169878	178594	0.155	-1
14	107349540	204254	0.19	0
15	102531392	211093	0.206	0
16	90354753	258650	0.286	1
17	81195210	254446	0.313	1
18	78077248	168021	0.215	0
19	59128983	209374	0.354	1
20	63025520	190846	0.303	1
21	48129895	91165	0.189	0
22	51304566	145652	0.284	1
Odchylenie standardowe dla osobnika: 0.04846
Srednia arytmetyczna: 0.23191
