Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	256187	0.103	0
2	243199373	267790	0.11	0
3	198022430	219896	0.111	0
4	191154276	205751	0.108	0
5	180915260	196571	0.109	0
6	171115067	190345	0.111	0
7	159138663	170220	0.107	0
8	146364022	160888	0.11	0
9	141213431	126126	0.089	-1
10	135534747	150254	0.111	0
11	135006516	150370	0.111	0
12	133851895	148352	0.111	0
13	115169878	106238	0.092	-1
14	107349540	99766	0.093	-1
15	102531392	91038	0.089	-1
16	90354753	92531	0.102	0
17	81195210	91175	0.112	0
18	78077248	85550	0.11	0
19	59128983	67710	0.115	1
20	63025520	73145	0.116	1
21	48129895	41579	0.086	-1
22	51304566	41690	0.081	-1
Odchylenie standardowe dla osobnika: 0.01024
Srednia arytmetyczna: 0.10395
