Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2208338	0.886	0
2	243199373	2097321	0.862	0
3	198022430	1650063	0.833	0
4	191154276	1447580	0.757	0
5	180915260	1497606	0.828	0
6	171115067	1536182	0.898	0
7	159138663	1437312	0.903	0
8	146364022	1301973	0.89	0
9	141213431	1135410	0.804	0
10	135534747	1419409	1.047	0
11	135006516	1238150	0.917	0
12	133851895	1217233	0.909	0
13	115169878	750191	0.651	-1
14	107349540	811305	0.756	-1
15	102531392	820649	0.8	0
16	90354753	971579	1.075	1
17	81195210	924863	1.139	1
18	78077248	671745	0.86	0
19	59128983	767629	1.298	1
20	63025520	683909	1.085	1
21	48129895	348069	0.723	-1
22	51304566	480142	0.936	0
Odchylenie standardowe dla osobnika: 0.1462
