Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	855349	0.343	0
2	243199373	901249	0.371	0
3	198022430	733639	0.37	0
4	191154276	668303	0.35	0
5	180915260	657279	0.363	0
6	171115067	630451	0.368	0
7	159138663	562015	0.353	0
8	146364022	544598	0.372	0
9	141213431	427228	0.303	-1
10	135534747	509366	0.376	0
11	135006516	506592	0.375	0
12	133851895	495600	0.37	0
13	115169878	352687	0.306	-1
14	107349540	334806	0.312	-1
15	102531392	307832	0.3	-1
16	90354753	313932	0.347	0
17	81195210	308244	0.38	0
18	78077248	288554	0.37	0
19	59128983	214909	0.363	0
20	63025520	256186	0.406	1
21	48129895	136763	0.284	-1
22	51304566	141304	0.275	-1
Odchylenie standardowe dla osobnika: 0.03449
