Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	3207493	1.287	0
2	243199373	2982554	1.226	0
3	198022430	2358949	1.191	0
4	191154276	2001057	1.047	-1
5	180915260	2137372	1.181	0
6	171115067	2204924	1.289	0
7	159138663	2068184	1.3	0
8	146364022	1829680	1.25	0
9	141213431	1665122	1.179	0
10	135534747	2019969	1.49	0
11	135006516	1774585	1.314	0
12	133851895	1778440	1.329	0
13	115169878	1066368	0.926	-1
14	107349540	1183565	1.103	0
15	102531392	1211235	1.181	0
16	90354753	1420199	1.572	1
17	81195210	1417378	1.746	1
18	78077248	955041	1.223	0
19	59128983	1196609	2.024	1
20	63025520	1013282	1.608	1
21	48129895	502882	1.045	-1
22	51304566	738851	1.44	0
Odchylenie standardowe dla osobnika: 0.24493
