Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	269350	0.108	0
2	243199373	285093	0.117	0
3	198022430	235407	0.119	0
4	191154276	222739	0.117	0
5	180915260	211004	0.117	0
6	171115067	203523	0.119	0
7	159138663	182403	0.115	0
8	146364022	172238	0.118	0
9	141213431	133867	0.095	-1
10	135534747	157442	0.116	0
11	135006516	157287	0.117	0
12	133851895	158068	0.118	0
13	115169878	115554	0.1	-1
14	107349540	106938	0.1	-1
15	102531392	96316	0.094	-1
16	90354753	95004	0.105	0
17	81195210	95126	0.117	0
18	78077248	90496	0.116	0
19	59128983	70162	0.119	0
20	63025520	75743	0.12	0
21	48129895	65454	0.136	1
22	51304566	42762	0.083	-1
Odchylenie standardowe dla osobnika: 0.01135
