Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	658885	0.264	0
2	243199373	693410	0.285	0
3	198022430	565823	0.286	0
4	191154276	526260	0.275	0
5	180915260	506336	0.28	0
6	171115067	489035	0.286	0
7	159138663	441500	0.277	0
8	146364022	418702	0.286	0
9	141213431	327651	0.232	-1
10	135534747	390702	0.288	0
11	135006516	386768	0.286	0
12	133851895	382522	0.286	0
13	115169878	274533	0.238	-1
14	107349540	259174	0.241	-1
15	102531392	234982	0.229	-1
16	90354753	242898	0.269	0
17	81195210	238698	0.294	0
18	78077248	221812	0.284	0
19	59128983	178807	0.302	1
20	63025520	191924	0.305	1
21	48129895	108146	0.225	-1
22	51304566	109714	0.214	-1
Odchylenie standardowe dla osobnika: 0.02629
Srednia arytmetyczna: 0.26964
