Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1927794	0.773	0
2	243199373	1843309	0.758	0
3	198022430	1465824	0.74	0
4	191154276	1293376	0.677	0
5	180915260	1337204	0.739	0
6	171115067	1365753	0.798	0
7	159138663	1266087	0.796	0
8	146364022	1160253	0.793	0
9	141213431	996232	0.705	0
10	135534747	1224301	0.903	1
11	135006516	1084833	0.804	0
12	133851895	1073272	0.802	0
13	115169878	675666	0.587	-1
14	107349540	717838	0.669	-1
15	102531392	719833	0.702	0
16	90354753	839137	0.929	1
17	81195210	768415	0.946	1
18	78077248	600044	0.769	0
19	59128983	632340	1.069	1
20	63025520	588261	0.933	1
21	48129895	304570	0.633	-1
22	51304566	398347	0.776	0
Odchylenie standardowe dla osobnika: 0.11082
