Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	35740	0.014	0
2	243199373	32786	0.013	0
3	198022430	25874	0.013	0
4	191154276	22293	0.012	0
5	180915260	23352	0.013	0
6	171115067	23673	0.014	0
7	159138663	22960	0.014	0
8	146364022	19696	0.013	0
9	141213431	18223	0.013	0
10	135534747	21225	0.016	0
11	135006516	19613	0.015	0
12	133851895	19429	0.015	0
13	115169878	11583	0.01	-1
14	107349540	13070	0.012	0
15	102531392	13150	0.013	0
16	90354753	15628	0.017	0
17	81195210	15495	0.019	1
18	78077248	10505	0.013	0
19	59128983	13300	0.022	1
20	63025520	10854	0.017	0
21	48129895	8253	0.017	0
22	51304566	8062	0.016	0
Odchylenie standardowe dla osobnika: 0.00261
Srednia arytmetyczna: 0.01459
