Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1576902	0.633	0
2	243199373	1461390	0.601	0
3	198022430	1146105	0.579	0
4	191154276	981501	0.513	-1
5	180915260	1042038	0.576	0
6	171115067	1064613	0.622	0
7	159138663	1014503	0.637	0
8	146364022	891316	0.609	0
9	141213431	819026	0.58	0
10	135534747	967072	0.714	0
11	135006516	871663	0.646	0
12	133851895	864096	0.646	0
13	115169878	521773	0.453	-1
14	107349540	577616	0.538	0
15	102531392	586128	0.572	0
16	90354753	689630	0.763	0
17	81195210	705510	0.869	1
18	78077248	465266	0.596	0
19	59128983	598042	1.011	1
20	63025520	491622	0.78	1
21	48129895	248736	0.517	-1
22	51304566	365410	0.712	0
Odchylenie standardowe dla osobnika: 0.12297
Srednia arytmetyczna: 0.64395
