Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1985663	0.797	0
2	243199373	1840308	0.757	0
3	198022430	1437033	0.726	0
4	191154276	1231050	0.644	-1
5	180915260	1312440	0.725	0
6	171115067	1343215	0.785	0
7	159138663	1277280	0.803	0
8	146364022	1123710	0.768	0
9	141213431	1025274	0.726	0
10	135534747	1249750	0.922	0
11	135006516	1096626	0.812	0
12	133851895	1087087	0.812	0
13	115169878	656402	0.57	-1
14	107349540	730468	0.68	0
15	102531392	746013	0.728	0
16	90354753	879217	0.973	0
17	81195210	895523	1.103	1
18	78077248	586697	0.751	0
19	59128983	759212	1.284	1
20	63025520	623702	0.99	1
21	48129895	314031	0.652	-1
22	51304566	469947	0.916	0
Odchylenie standardowe dla osobnika: 0.15908
