Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1112650	0.446	0
2	243199373	1041396	0.428	0
3	198022430	810612	0.409	0
4	191154276	678008	0.355	-1
5	180915260	739021	0.408	0
6	171115067	764671	0.447	0
7	159138663	705090	0.443	0
8	146364022	647405	0.442	0
9	141213431	575412	0.407	0
10	135534747	706874	0.522	0
11	135006516	634168	0.47	0
12	133851895	599935	0.448	0
13	115169878	367065	0.319	-1
14	107349540	407461	0.38	0
15	102531392	415660	0.405	0
16	90354753	486935	0.539	1
17	81195210	478077	0.589	1
18	78077248	337001	0.432	0
19	59128983	395317	0.669	1
20	63025520	362895	0.576	1
21	48129895	177162	0.368	-1
22	51304566	266353	0.519	0
Odchylenie standardowe dla osobnika: 0.0817
