Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	177302	0.071	0
2	243199373	153326	0.063	0
3	198022430	123046	0.062	0
4	191154276	105357	0.055	0
5	180915260	110081	0.061	0
6	171115067	108379	0.063	0
7	159138663	114612	0.072	0
8	146364022	89124	0.061	0
9	141213431	86321	0.061	0
10	135534747	98956	0.073	0
11	135006516	88297	0.065	0
12	133851895	97397	0.073	0
13	115169878	54577	0.047	-1
14	107349540	63467	0.059	0
15	102531392	63151	0.062	0
16	90354753	75325	0.083	0
17	81195210	84159	0.104	1
18	78077248	46654	0.06	0
19	59128983	74389	0.126	1
20	63025520	48735	0.077	0
21	48129895	24726	0.051	-1
22	51304566	37344	0.073	0
Odchylenie standardowe dla osobnika: 0.017
Srednia arytmetyczna: 0.06918
