Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1541810	0.619	0
2	243199373	1408800	0.579	0
3	198022430	1102867	0.557	0
4	191154276	956880	0.501	0
5	180915260	998617	0.552	0
6	171115067	1012016	0.591	0
7	159138663	1006558	0.633	0
8	146364022	840152	0.574	0
9	141213431	786067	0.557	0
10	135534747	934692	0.69	0
11	135006516	822691	0.609	0
12	133851895	855926	0.639	0
13	115169878	498731	0.433	-1
14	107349540	560948	0.523	0
15	102531392	577434	0.563	0
16	90354753	682790	0.756	0
17	81195210	723051	0.891	1
18	78077248	436594	0.559	0
19	59128983	629188	1.064	1
20	63025520	463451	0.735	0
21	48129895	236232	0.491	0
22	51304566	353645	0.689	0
Odchylenie standardowe dla osobnika: 0.13664
