Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1949780	0.782	0
2	243199373	1857307	0.764	0
3	198022430	1473431	0.744	0
4	191154276	1300374	0.68	0
5	180915260	1331724	0.736	0
6	171115067	1377193	0.805	0
7	159138663	1270088	0.798	0
8	146364022	1157906	0.791	0
9	141213431	1004421	0.711	0
10	135534747	1274482	0.94	1
11	135006516	1084642	0.803	0
12	133851895	1085137	0.811	0
13	115169878	669025	0.581	-1
14	107349540	715978	0.667	-1
15	102531392	728697	0.711	0
16	90354753	881048	0.975	1
17	81195210	816856	1.006	1
18	78077248	587694	0.753	0
19	59128983	682382	1.154	1
20	63025520	597628	0.948	1
21	48129895	304673	0.633	-1
22	51304566	413838	0.807	0
Odchylenie standardowe dla osobnika: 0.13056
Srednia arytmetyczna: 0.8
