Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	7367938	2.956	0
2	243199373	7949866	3.269	0
3	198022430	6577203	3.321	0
4	191154276	6288633	3.29	0
5	180915260	5904090	3.263	0
6	171115067	5657486	3.306	0
7	159138663	5034728	3.164	0
8	146364022	4802408	3.281	0
9	141213431	3684357	2.609	-1
10	135534747	4362188	3.219	0
11	135006516	4354550	3.225	0
12	133851895	4377786	3.271	0
13	115169878	3250940	2.823	0
14	107349540	2945598	2.744	0
15	102531392	2611480	2.547	-1
16	90354753	2558444	2.832	0
17	81195210	2515200	3.098	0
18	78077248	2549898	3.266	0
19	59128983	1790733	3.029	0
20	63025520	2051380	3.255	0
21	48129895	1213795	2.522	-1
22	51304566	1105069	2.154	-1
Odchylenie standardowe dla osobnika: 0.32099
