Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2646541	1.062	0
2	243199373	2428310	0.998	0
3	198022430	1916819	0.968	0
4	191154276	1721040	0.9	0
5	180915260	1721041	0.951	0
6	171115067	1721478	1.006	0
7	159138663	1753552	1.102	0
8	146364022	1431191	0.978	0
9	141213431	1336864	0.947	0
10	135534747	1600787	1.181	0
11	135006516	1378216	1.021	0
12	133851895	1479775	1.106	0
13	115169878	865993	0.752	-1
14	107349540	963010	0.897	0
15	102531392	983094	0.959	0
16	90354753	1148770	1.271	0
17	81195210	1219002	1.501	1
18	78077248	739799	0.948	0
19	59128983	1070188	1.81	1
20	63025520	750940	1.191	0
21	48129895	394306	0.819	-1
22	51304566	555948	1.084	0
Odchylenie standardowe dla osobnika: 0.22492
Srednia arytmetyczna: 1.066
