Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	402873	0.162	0
2	243199373	374321	0.154	0
3	198022430	299232	0.151	0
4	191154276	257241	0.135	0
5	180915260	263071	0.145	0
6	171115067	259102	0.151	0
7	159138663	270790	0.17	0
8	146364022	209265	0.143	0
9	141213431	205833	0.146	0
10	135534747	230370	0.17	0
11	135006516	208612	0.155	0
12	133851895	224711	0.168	0
13	115169878	139310	0.121	-1
14	107349540	149745	0.139	0
15	102531392	150056	0.146	0
16	90354753	170968	0.189	0
17	81195210	187383	0.231	1
18	78077248	115188	0.148	0
19	59128983	155627	0.263	1
20	63025520	110040	0.175	0
21	48129895	57894	0.12	-1
22	51304566	79984	0.156	0
Odchylenie standardowe dla osobnika: 0.03194
