Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	2230035	0.895	0
2	243199373	2118374	0.871	0
3	198022430	1670905	0.844	0
4	191154276	1458202	0.763	-1
5	180915260	1514259	0.837	0
6	171115067	1566149	0.915	0
7	159138663	1442159	0.906	0
8	146364022	1314590	0.898	0
9	141213431	1147895	0.813	0
10	135534747	1432693	1.057	0
11	135006516	1251386	0.927	0
12	133851895	1231833	0.92	0
13	115169878	758792	0.659	-1
14	107349540	823098	0.767	0
15	102531392	831840	0.811	0
16	90354753	978344	1.083	1
17	81195210	932759	1.149	1
18	78077248	675377	0.865	0
19	59128983	770670	1.303	1
20	63025520	693354	1.1	1
21	48129895	350031	0.727	-1
22	51304566	485545	0.946	0
Odchylenie standardowe dla osobnika: 0.14651
Srednia arytmetyczna: 0.91164
