Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	135205	0.054	0
2	243199373	143205	0.059	0
3	198022430	117809	0.059	0
4	191154276	111442	0.058	0
5	180915260	105604	0.058	0
6	171115067	101331	0.059	0
7	159138663	91286	0.057	0
8	146364022	86369	0.059	0
9	141213431	67454	0.048	-1
10	135534747	79121	0.058	0
11	135006516	78345	0.058	0
12	133851895	79661	0.06	0
13	115169878	57788	0.05	-1
14	107349540	53936	0.05	-1
15	102531392	47907	0.047	-1
16	90354753	47361	0.052	0
17	81195210	47656	0.059	0
18	78077248	45701	0.059	0
19	59128983	34926	0.059	0
20	63025520	38185	0.061	0
21	48129895	32902	0.068	1
22	51304566	21144	0.041	-1
Odchylenie standardowe dla osobnika: 0.00575
