Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	330232	0.132	0
2	243199373	296503	0.122	0
3	198022430	233313	0.118	0
4	191154276	211151	0.11	0
5	180915260	208070	0.115	0
6	171115067	207159	0.121	0
7	159138663	216057	0.136	0
8	146364022	174531	0.119	0
9	141213431	164628	0.117	0
10	135534747	201105	0.148	0
11	135006516	172202	0.128	0
12	133851895	181607	0.136	0
13	115169878	102858	0.089	-1
14	107349540	117965	0.11	0
15	102531392	120366	0.117	0
16	90354753	149983	0.166	1
17	81195210	153549	0.189	1
18	78077248	88873	0.114	0
19	59128983	137300	0.232	1
20	63025520	93909	0.149	0
21	48129895	49057	0.102	0
22	51304566	71610	0.14	0
Odchylenie standardowe dla osobnika: 0.03047
Srednia arytmetyczna: 0.13227
