Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	1054324	0.423	0
2	243199373	1136594	0.467	0
3	198022430	939506	0.474	0
4	191154276	903755	0.473	0
5	180915260	836220	0.462	0
6	171115067	810282	0.474	0
7	159138663	729286	0.458	0
8	146364022	685085	0.468	0
9	141213431	528474	0.374	-1
10	135534747	622640	0.459	0
11	135006516	622270	0.461	0
12	133851895	621734	0.464	0
13	115169878	467493	0.406	0
14	107349540	421886	0.393	0
15	102531392	375148	0.366	-1
16	90354753	372119	0.412	0
17	81195210	366959	0.452	0
18	78077248	363339	0.465	0
19	59128983	268425	0.454	0
20	63025520	293718	0.466	0
21	48129895	175584	0.365	-1
22	51304566	160446	0.313	-1
Odchylenie standardowe dla osobnika: 0.04471
