Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	714365	0.287	0
2	243199373	656737	0.27	0
3	198022430	513517	0.259	0
4	191154276	444794	0.233	-1
5	180915260	466162	0.258	0
6	171115067	473449	0.277	0
7	159138663	456190	0.287	0
8	146364022	400844	0.274	0
9	141213431	362244	0.257	0
10	135534747	429929	0.317	0
11	135006516	391064	0.29	0
12	133851895	388774	0.29	0
13	115169878	232975	0.202	-1
14	107349540	259458	0.242	0
15	102531392	262530	0.256	0
16	90354753	309128	0.342	0
17	81195210	312472	0.385	1
18	78077248	208055	0.266	0
19	59128983	265706	0.449	1
20	63025520	218426	0.347	1
21	48129895	166552	0.346	0
22	51304566	161851	0.315	0
Odchylenie standardowe dla osobnika: 0.05372
Srednia arytmetyczna: 0.29314
