Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	350397	0.141	0
2	243199373	317662	0.131	0
3	198022430	252650	0.128	0
4	191154276	225965	0.118	0
5	180915260	229174	0.127	0
6	171115067	230451	0.135	0
7	159138663	225966	0.142	0
8	146364022	191436	0.131	0
9	141213431	173414	0.123	0
10	135534747	219256	0.162	0
11	135006516	183080	0.136	0
12	133851895	193037	0.144	0
13	115169878	113605	0.099	-1
14	107349540	125177	0.117	0
15	102531392	125447	0.122	0
16	90354753	150346	0.166	1
17	81195210	150814	0.186	1
18	78077248	98739	0.126	0
19	59128983	130758	0.221	1
20	63025520	97741	0.155	0
21	48129895	51834	0.108	-1
22	51304566	69442	0.135	0
Odchylenie standardowe dla osobnika: 0.02621
