Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	27004	0.011	0
2	243199373	28662	0.012	0
3	198022430	23617	0.012	0
4	191154276	22447	0.012	0
5	180915260	21251	0.012	0
6	171115067	20342	0.012	0
7	159138663	18309	0.012	0
8	146364022	17238	0.012	0
9	141213431	13811	0.01	-1
10	135534747	15813	0.012	0
11	135006516	15595	0.012	0
12	133851895	16082	0.012	0
13	115169878	11512	0.01	-1
14	107349540	10836	0.01	-1
15	102531392	9593	0.009	-1
16	90354753	9590	0.011	0
17	81195210	9416	0.012	0
18	78077248	9140	0.012	0
19	59128983	7081	0.012	0
20	63025520	7741	0.012	0
21	48129895	6513	0.014	1
22	51304566	4337	0.008	-1
Odchylenie standardowe dla osobnika: 0.00127
