Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Liczba odczytow: 	Srednie pokrycie [%]: 	Decyzja: 	
1	249250621	357784	0.144	0
2	243199373	328449	0.135	0
3	198022430	257271	0.13	0
4	191154276	222834	0.117	-1
5	180915260	233327	0.129	0
6	171115067	237962	0.139	0
7	159138663	228340	0.143	0
8	146364022	199589	0.136	0
9	141213431	180913	0.128	0
10	135534747	215311	0.159	0
11	135006516	195136	0.145	0
12	133851895	193959	0.145	0
13	115169878	116480	0.101	-1
14	107349540	129777	0.121	0
15	102531392	130696	0.127	0
16	90354753	154383	0.171	0
17	81195210	155806	0.192	1
18	78077248	104382	0.134	0
19	59128983	132746	0.225	1
20	63025520	109590	0.174	1
21	48129895	83828	0.174	1
22	51304566	80575	0.157	0
Odchylenie standardowe dla osobnika: 0.02695
Srednia arytmetyczna: 0.14664
