1	249250621	3299124	0
2	243199373	3595288	0
3	198022430	2995990	0
4	191154276	2906657	0
5	180915260	2693201	0
6	171115067	2584191	0
7	159138663	2270966	0
8	146364022	2179712	0
9	141213431	1646561	0
10	135534747	1947788	0
11	135006516	1944588	0
12	133851895	1974939	0
13	115169878	1495785	0
14	107349540	1332648	0
15	102531392	1160689	0
16	90354753	1105761	0
17	81195210	1078155	0
18	78077248	1155521	0
19	59128983	741159	0
20	63025520	887451	0
21	48129895	543983	0
22	51304566	458577	0
X	155270560	2161550	0
Y	59373566	8691	0
MT	16569	12633	0
*	0	0	0
