Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	450821	0.181	0
2	243199373	397169	0.163	0
3	198022430	315871	0.16	0
4	191154276	266616	0.139	0
5	180915260	280698	0.155	0
6	171115067	289959	0.169	0
7	159138663	289557	0.182	0
8	146364022	234853	0.16	0
9	141213431	230338	0.163	0
10	135534747	266610	0.197	0
11	135006516	235491	0.174	0
12	133851895	252166	0.188	0
13	115169878	139879	0.121	-1
14	107349540	164160	0.153	0
15	102531392	170824	0.167	0
16	90354753	200870	0.222	0
17	81195210	223581	0.275	1
18	78077248	122023	0.156	0
19	59128983	201198	0.34	1
20	63025520	136039	0.216	0
21	48129895	65361	0.136	0
22	51304566	109111	0.213	0
Odchylenie standardowe dla osobnika: 0.0475
