Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	17315632	6.947	0
2	243199373	18601391	7.649	0
3	198022430	15329236	7.741	0
4	191154276	14366659	7.516	0
5	180915260	13738110	7.594	0
6	171115067	13160371	7.691	0
7	159138663	11664597	7.33	0
8	146364022	11245740	7.683	0
9	141213431	8649796	6.125	-1
10	135534747	10261551	7.571	0
11	135006516	10215013	7.566	0
12	133851895	10201633	7.622	0
13	115169878	7485539	6.5	0
14	107349540	6887625	6.416	0
15	102531392	6173544	6.021	-1
16	90354753	6039008	6.684	0
17	81195210	5955109	7.334	0
18	78077248	5977224	7.656	0
19	59128983	4125168	6.977	0
20	63025520	4927498	7.818	1
21	48129895	2785401	5.787	-1
22	51304566	2656900	5.179	-1
Odchylenie standardowe dla osobnika: 0.73862
