Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	4447877	1.784	0
2	243199373	4718113	1.94	0
3	198022430	3889903	1.964	0
4	191154276	3679167	1.925	0
5	180915260	3488684	1.928	0
6	171115067	3357585	1.962	0
7	159138663	3001463	1.886	0
8	146364022	2849656	1.947	0
9	141213431	2212750	1.567	-1
10	135534747	2608336	1.924	0
11	135006516	2618061	1.939	0
12	133851895	2615928	1.954	0
13	115169878	1904040	1.653	0
14	107349540	1766497	1.646	0
15	102531392	1579054	1.54	-1
16	90354753	1568805	1.736	0
17	81195210	1564200	1.926	0
18	78077248	1502105	1.924	0
19	59128983	1142071	1.931	0
20	63025520	1251327	1.985	0
21	48129895	726704	1.51	-1
22	51304566	696023	1.357	-1
Odchylenie standardowe dla osobnika: 0.18114
