Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	269110	0.108	0
2	243199373	286109	0.118	0
3	198022430	235531	0.119	0
4	191154276	223461	0.117	0
5	180915260	211708	0.117	0
6	171115067	203047	0.119	0
7	159138663	182424	0.115	0
8	146364022	172681	0.118	0
9	141213431	134780	0.095	-1
10	135534747	158326	0.117	0
11	135006516	157938	0.117	0
12	133851895	159162	0.119	0
13	115169878	115793	0.101	0
14	107349540	107190	0.1	-1
15	102531392	96551	0.094	-1
16	90354753	95456	0.106	0
17	81195210	95422	0.118	0
18	78077248	90675	0.116	0
19	59128983	70095	0.119	0
20	63025520	76160	0.121	0
21	48129895	65828	0.137	1
22	51304566	42638	0.083	-1
Odchylenie standardowe dla osobnika: 0.01148
