Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	54862	0.022	0
2	243199373	46087	0.019	0
3	198022430	36847	0.019	0
4	191154276	30547	0.016	0
5	180915260	32253	0.018	0
6	171115067	32540	0.019	0
7	159138663	36299	0.023	0
8	146364022	25920	0.018	0
9	141213431	27317	0.019	0
10	135534747	29567	0.022	0
11	135006516	26693	0.02	0
12	133851895	31218	0.023	0
13	115169878	16030	0.014	-1
14	107349540	20070	0.019	0
15	102531392	20284	0.02	0
16	90354753	24601	0.027	0
17	81195210	30243	0.037	1
18	78077248	13271	0.017	0
19	59128983	28004	0.047	1
20	63025520	15349	0.024	0
21	48129895	7063	0.015	0
22	51304566	12921	0.025	0
Odchylenie standardowe dla osobnika: 0.00723
