Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	64440	0.026	0
2	243199373	57115	0.023	0
3	198022430	44820	0.023	0
4	191154276	38366	0.02	0
5	180915260	40641	0.022	0
6	171115067	40946	0.024	0
7	159138663	40755	0.026	0
8	146364022	34130	0.023	0
9	141213431	32030	0.023	0
10	135534747	37548	0.028	0
11	135006516	33780	0.025	0
12	133851895	35351	0.026	0
13	115169878	20236	0.018	-1
14	107349540	22983	0.021	0
15	102531392	23557	0.023	0
16	90354753	27920	0.031	0
17	81195210	29766	0.037	1
18	78077248	17908	0.023	0
19	59128983	26264	0.044	1
20	63025520	19113	0.03	0
21	48129895	9478	0.02	0
22	51304566	14398	0.028	0
Odchylenie standardowe dla osobnika: 0.00575
