Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	15977987	6.41	0
2	243199373	16149521	6.64	0
3	198022430	12997853	6.564	0
4	191154276	11442317	5.986	0
5	180915260	11608010	6.416	0
6	171115067	11154089	6.518	0
7	159138663	10279571	6.46	0
8	146364022	9758568	6.667	0
9	141213431	7883110	5.582	-1
10	135534747	9459778	6.98	0
11	135006516	9424624	6.981	0
12	133851895	9082003	6.785	0
13	115169878	6064448	5.266	-1
14	107349540	6130283	5.711	-1
15	102531392	5776729	5.634	-1
16	90354753	6258362	6.926	0
17	81195210	6275314	7.729	1
18	78077248	5100084	6.532	0
19	59128983	4827073	8.164	1
20	63025520	4968823	7.884	1
21	48129895	2508120	5.211	-1
22	51304566	3020300	5.887	0
Odchylenie standardowe dla osobnika: 0.76954
