Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	4290282	1.721	0
2	243199373	4621264	1.9	0
3	198022430	3858773	1.949	0
4	191154276	3753494	1.964	1
5	180915260	3459311	1.912	0
6	171115067	3339841	1.952	0
7	159138663	2967532	1.865	0
8	146364022	2788181	1.905	0
9	141213431	2119363	1.501	-1
10	135534747	2513221	1.854	0
11	135006516	2493544	1.847	0
12	133851895	2580740	1.928	0
13	115169878	1925772	1.672	0
14	107349540	1720727	1.603	0
15	102531392	1506829	1.47	-1
16	90354753	1462257	1.618	0
17	81195210	1443089	1.777	0
18	78077248	1467457	1.879	0
19	59128983	1050375	1.776	0
20	63025520	1133397	1.798	0
21	48129895	708295	1.472	-1
22	51304566	597920	1.165	-1
Odchylenie standardowe dla osobnika: 0.20117
