Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	5245519	2.105	0
2	243199373	5347314	2.199	0
3	198022430	4334647	2.189	0
4	191154276	3926760	2.054	0
5	180915260	3858821	2.133	0
6	171115067	3729022	2.179	0
7	159138663	3432571	2.157	0
8	146364022	3216848	2.198	0
9	141213431	2590847	1.835	-1
10	135534747	3094352	2.283	0
11	135006516	3075117	2.278	0
12	133851895	3011544	2.25	0
13	115169878	2055405	1.785	-1
14	107349540	2028249	1.889	-1
15	102531392	1874913	1.829	-1
16	90354753	2019042	2.235	0
17	81195210	2040866	2.514	1
18	78077248	1684530	2.158	0
19	59128983	1596528	2.7	1
20	63025520	1577868	2.504	1
21	48129895	836665	1.738	-1
22	51304566	961050	1.873	-1
Odchylenie standardowe dla osobnika: 0.24105
