Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1478189	0.593	0
2	243199373	1343997	0.553	0
3	198022430	1055122	0.533	0
4	191154276	913978	0.478	0
5	180915260	952932	0.527	0
6	171115067	971126	0.568	0
7	159138663	940426	0.591	0
8	146364022	817888	0.559	0
9	141213431	745171	0.528	0
10	135534747	911801	0.673	0
11	135006516	801350	0.594	0
12	133851895	800931	0.598	0
13	115169878	469731	0.408	-1
14	107349540	534110	0.498	0
15	102531392	539431	0.526	0
16	90354753	656485	0.727	1
17	81195210	653189	0.804	1
18	78077248	419801	0.538	0
19	59128983	562444	0.951	1
20	63025520	452701	0.718	1
21	48129895	225036	0.468	-1
22	51304566	329540	0.642	0
Odchylenie standardowe dla osobnika: 0.11875
