Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	414218	0.166	0
2	243199373	372137	0.153	0
3	198022430	295723	0.149	0
4	191154276	250391	0.131	0
5	180915260	265464	0.147	0
6	171115067	269796	0.158	0
7	159138663	269277	0.169	0
8	146364022	221856	0.152	0
9	141213431	215006	0.152	0
10	135534747	245887	0.181	0
11	135006516	218997	0.162	0
12	133851895	233903	0.175	0
13	115169878	131060	0.114	-1
14	107349540	152834	0.142	0
15	102531392	158017	0.154	0
16	90354753	184491	0.204	0
17	81195210	201336	0.248	1
18	78077248	115509	0.148	0
19	59128983	178466	0.302	1
20	63025520	125697	0.199	0
21	48129895	61564	0.128	-1
22	51304566	97387	0.19	0
Odchylenie standardowe dla osobnika: 0.04052
