Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	606335	0.243	0
2	243199373	564369	0.232	0
3	198022430	449327	0.227	0
4	191154276	393198	0.206	0
5	180915260	403293	0.223	0
6	171115067	411087	0.24	0
7	159138663	396564	0.249	0
8	146364022	345224	0.236	0
9	141213431	309426	0.219	0
10	135534747	364171	0.269	0
11	135006516	327415	0.243	0
12	133851895	335735	0.251	0
13	115169878	205874	0.179	-1
14	107349540	221641	0.206	0
15	102531392	223269	0.218	0
16	90354753	256655	0.284	0
17	81195210	264418	0.326	1
18	78077248	177465	0.227	0
19	59128983	223591	0.378	1
20	63025520	176653	0.28	0
21	48129895	91788	0.191	-1
22	51304566	127956	0.249	0
Odchylenie standardowe dla osobnika: 0.04305
