Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	2725054	1.093	0
2	243199373	2866868	1.179	0
3	198022430	2359690	1.192	0
4	191154276	2190874	1.146	0
5	180915260	2109214	1.166	0
6	171115067	2025849	1.184	0
7	159138663	1819239	1.143	0
8	146364022	1734590	1.185	0
9	141213431	1356098	0.96	-1
10	135534747	1603117	1.183	0
11	135006516	1606202	1.19	0
12	133851895	1594464	1.191	0
13	115169878	1136809	0.987	-1
14	107349540	1071422	0.998	-1
15	102531392	974838	0.951	-1
16	90354753	983222	1.088	0
17	81195210	972647	1.198	0
18	78077248	911380	1.167	0
19	59128983	712242	1.205	0
20	63025520	781436	1.24	1
21	48129895	439327	0.913	-1
22	51304566	439949	0.858	-1
Odchylenie standardowe dla osobnika: 0.1091
