Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	659283	0.265	0
2	243199373	609575	0.251	0
3	198022430	475639	0.24	0
4	191154276	414320	0.217	0
5	180915260	431756	0.239	0
6	171115067	438440	0.256	0
7	159138663	425077	0.267	0
8	146364022	365901	0.25	0
9	141213431	337275	0.239	0
10	135534747	399292	0.295	0
11	135006516	360427	0.267	0
12	133851895	359448	0.269	0
13	115169878	216519	0.188	-1
14	107349540	240310	0.224	0
15	102531392	246945	0.241	0
16	90354753	285215	0.316	0
17	81195210	297094	0.366	1
18	78077248	190522	0.244	0
19	59128983	254876	0.431	1
20	63025520	201284	0.319	0
21	48129895	102879	0.214	-1
22	51304566	149743	0.292	0
Odchylenie standardowe dla osobnika: 0.05256
