Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	681546	0.273	0
2	243199373	623123	0.256	0
3	198022430	487519	0.246	0
4	191154276	412404	0.216	-1
5	180915260	441399	0.244	0
6	171115067	453160	0.265	0
7	159138663	438064	0.275	0
8	146364022	380687	0.26	0
9	141213431	349837	0.248	0
10	135534747	417452	0.308	0
11	135006516	372418	0.276	0
12	133851895	371123	0.277	0
13	115169878	221041	0.192	-1
14	107349540	249115	0.232	0
15	102531392	255544	0.249	0
16	90354753	302606	0.335	0
17	81195210	314981	0.388	1
18	78077248	198209	0.254	0
19	59128983	269496	0.456	1
20	63025520	213761	0.339	1
21	48129895	106500	0.221	0
22	51304566	165469	0.323	0
Odchylenie standardowe dla osobnika: 0.05869
