Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	358140	0.144	0
2	243199373	329185	0.135	0
3	198022430	256350	0.129	0
4	191154276	221884	0.116	-1
5	180915260	233839	0.129	0
6	171115067	237008	0.139	0
7	159138663	228149	0.143	0
8	146364022	199247	0.136	0
9	141213431	182113	0.129	0
10	135534747	214023	0.158	0
11	135006516	194605	0.144	0
12	133851895	195517	0.146	0
13	115169878	116479	0.101	-1
14	107349540	130238	0.121	0
15	102531392	131360	0.128	0
16	90354753	155346	0.172	0
17	81195210	155899	0.192	1
18	78077248	104066	0.133	0
19	59128983	132256	0.224	1
20	63025520	109156	0.173	0
21	48129895	83333	0.173	0
22	51304566	81067	0.158	0
Odchylenie standardowe dla osobnika: 0.02681
