Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	768864	0.308	0
2	243199373	820739	0.337	0
3	198022430	668037	0.337	0
4	191154276	636131	0.333	0
5	180915260	606451	0.335	0
6	171115067	584691	0.342	0
7	159138663	520505	0.327	0
8	146364022	494139	0.338	0
9	141213431	383595	0.272	-1
10	135534747	455129	0.336	0
11	135006516	452310	0.335	0
12	133851895	452367	0.338	0
13	115169878	331201	0.288	0
14	107349540	304483	0.284	0
15	102531392	274009	0.267	-1
16	90354753	274987	0.304	0
17	81195210	270469	0.333	0
18	78077248	261503	0.335	0
19	59128983	197314	0.334	0
20	63025520	218329	0.346	0
21	48129895	127551	0.265	-1
22	51304566	120104	0.234	-1
Odchylenie standardowe dla osobnika: 0.03132
