Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	302076	0.121	0
2	243199373	318300	0.131	0
3	198022430	264514	0.134	0
4	191154276	248190	0.13	0
5	180915260	235990	0.13	0
6	171115067	229180	0.134	0
7	159138663	201777	0.127	0
8	146364022	193627	0.132	0
9	141213431	148940	0.105	-1
10	135534747	178154	0.131	0
11	135006516	177143	0.131	0
12	133851895	176172	0.132	0
13	115169878	128984	0.112	0
14	107349540	119315	0.111	0
15	102531392	107186	0.105	-1
16	90354753	106541	0.118	0
17	81195210	104746	0.129	0
18	78077248	102117	0.131	0
19	59128983	74529	0.126	0
20	63025520	84671	0.134	0
21	48129895	48822	0.101	-1
22	51304566	46455	0.091	-1
Odchylenie standardowe dla osobnika: 0.01241
