Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	179674	0.072	0
2	243199373	164942	0.068	0
3	198022430	127814	0.065	0
4	191154276	110901	0.058	-1
5	180915260	116390	0.064	0
6	171115067	119388	0.07	0
7	159138663	113677	0.071	0
8	146364022	99906	0.068	0
9	141213431	90336	0.064	0
10	135534747	107500	0.079	0
11	135006516	97541	0.072	0
12	133851895	96925	0.072	0
13	115169878	58135	0.05	-1
14	107349540	64987	0.061	0
15	102531392	65786	0.064	0
16	90354753	78004	0.086	0
17	81195210	77632	0.096	1
18	78077248	51937	0.067	0
19	59128983	66576	0.113	1
20	63025520	54924	0.087	1
21	48129895	41947	0.087	1
22	51304566	40489	0.079	0
Odchylenie standardowe dla osobnika: 0.0136
