Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	400068	0.161	0
2	243199373	429442	0.177	0
3	198022430	352952	0.178	0
4	191154276	343099	0.179	0
5	180915260	318703	0.176	0
6	171115067	310896	0.182	0
7	159138663	278263	0.175	0
8	146364022	259189	0.177	0
9	141213431	200720	0.142	-1
10	135534747	236177	0.174	0
11	135006516	234023	0.173	0
12	133851895	237944	0.178	0
13	115169878	177280	0.154	0
14	107349540	160287	0.149	-1
15	102531392	141814	0.138	-1
16	90354753	143402	0.159	0
17	81195210	143050	0.176	0
18	78077248	137089	0.176	0
19	59128983	109595	0.185	1
20	63025520	111123	0.176	0
21	48129895	69137	0.144	-1
22	51304566	62531	0.122	-1
Odchylenie standardowe dla osobnika: 0.01678
