Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	60668	0.024	0
2	243199373	54609	0.022	0
3	198022430	43176	0.022	0
4	191154276	36619	0.019	0
5	180915260	38851	0.021	0
6	171115067	39199	0.023	0
7	159138663	39280	0.025	0
8	146364022	32411	0.022	0
9	141213431	30955	0.022	0
10	135534747	35062	0.026	0
11	135006516	31490	0.023	0
12	133851895	34026	0.025	0
13	115169878	19482	0.017	-1
14	107349540	22396	0.021	0
15	102531392	22685	0.022	0
16	90354753	27037	0.03	0
17	81195210	29200	0.036	1
18	78077248	16860	0.022	0
19	59128983	25486	0.043	1
20	63025520	18213	0.029	0
21	48129895	9026	0.019	0
22	51304566	13807	0.027	0
Odchylenie standardowe dla osobnika: 0.00571
