Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	281467	0.113	0
2	243199373	299764	0.123	0
3	198022430	245246	0.124	0
4	191154276	231473	0.121	0
5	180915260	220389	0.122	0
6	171115067	213254	0.125	0
7	159138663	189442	0.119	0
8	146364022	180921	0.124	0
9	141213431	139587	0.099	-1
10	135534747	167016	0.123	0
11	135006516	165487	0.123	0
12	133851895	164136	0.123	0
13	115169878	120655	0.105	0
14	107349540	110784	0.103	-1
15	102531392	99274	0.097	-1
16	90354753	102055	0.113	0
17	81195210	99444	0.122	0
18	78077248	95843	0.123	0
19	59128983	72808	0.123	0
20	63025520	80064	0.127	1
21	48129895	46845	0.097	-1
22	51304566	44519	0.087	-1
Odchylenie standardowe dla osobnika: 0.01144
