Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	269265	0.108	0
2	243199373	285903	0.118	0
3	198022430	235041	0.119	0
4	191154276	222379	0.116	0
5	180915260	212482	0.117	0
6	171115067	202838	0.119	0
7	159138663	181815	0.114	0
8	146364022	172377	0.118	0
9	141213431	133955	0.095	-1
10	135534747	158216	0.117	0
11	135006516	157847	0.117	0
12	133851895	158417	0.118	0
13	115169878	115901	0.101	0
14	107349540	106914	0.1	-1
15	102531392	96047	0.094	-1
16	90354753	95323	0.105	0
17	81195210	95762	0.118	0
18	78077248	90639	0.116	0
19	59128983	70226	0.119	0
20	63025520	75970	0.121	0
21	48129895	65586	0.136	1
22	51304566	42463	0.083	-1
Odchylenie standardowe dla osobnika: 0.01137
