Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	609100	0.244	0
2	243199373	553638	0.228	0
3	198022430	428162	0.216	0
4	191154276	353088	0.185	-1
5	180915260	390928	0.216	0
6	171115067	407263	0.238	0
7	159138663	380778	0.239	0
8	146364022	341991	0.234	0
9	141213431	311088	0.22	0
10	135534747	387040	0.286	0
11	135006516	339105	0.251	0
12	133851895	325570	0.243	0
13	115169878	192026	0.167	-1
14	107349540	221554	0.206	0
15	102531392	226201	0.221	0
16	90354753	269842	0.299	1
17	81195210	270965	0.334	1
18	78077248	179464	0.23	0
19	59128983	225933	0.382	1
20	63025520	198315	0.315	1
21	48129895	96503	0.201	0
22	51304566	150305	0.293	0
Odchylenie standardowe dla osobnika: 0.05006
