Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	358511	0.144	0
2	243199373	385284	0.158	0
3	198022430	318846	0.161	0
4	191154276	305337	0.16	0
5	180915260	286699	0.158	0
6	171115067	276067	0.161	0
7	159138663	244167	0.153	0
8	146364022	233511	0.16	0
9	141213431	178145	0.126	-1
10	135534747	210725	0.155	0
11	135006516	211230	0.156	0
12	133851895	211931	0.158	0
13	115169878	157532	0.137	0
14	107349540	142267	0.133	0
15	102531392	126722	0.124	-1
16	90354753	123939	0.137	0
17	81195210	119440	0.147	0
18	78077248	124115	0.159	0
19	59128983	83318	0.141	0
20	63025520	98270	0.156	0
21	48129895	59366	0.123	-1
22	51304566	51778	0.101	-1
Odchylenie standardowe dla osobnika: 0.01591
