Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	461797	0.185	0
2	243199373	423653	0.174	0
3	198022430	336643	0.17	0
4	191154276	303028	0.159	0
5	180915260	301651	0.167	0
6	171115067	306825	0.179	0
7	159138663	302298	0.19	0
8	146364022	252256	0.172	0
9	141213431	230114	0.163	0
10	135534747	281726	0.208	0
11	135006516	243703	0.181	0
12	133851895	258760	0.193	0
13	115169878	150845	0.131	-1
14	107349540	167222	0.156	0
15	102531392	172647	0.168	0
16	90354753	203277	0.225	1
17	81195210	206920	0.255	1
18	78077248	129586	0.166	0
19	59128983	183601	0.311	1
20	63025520	133422	0.212	0
21	48129895	69499	0.144	-1
22	51304566	96394	0.188	0
Odchylenie standardowe dla osobnika: 0.03804
