Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	18386	0.007	0
2	243199373	16296	0.007	0
3	198022430	12720	0.006	0
4	191154276	11575	0.006	0
5	180915260	11319	0.006	0
6	171115067	11496	0.007	0
7	159138663	12257	0.008	0
8	146364022	9359	0.006	0
9	141213431	9090	0.006	0
10	135534747	11069	0.008	0
11	135006516	9292	0.007	0
12	133851895	10425	0.008	0
13	115169878	5860	0.005	-1
14	107349540	6653	0.006	0
15	102531392	6748	0.007	0
16	90354753	8118	0.009	0
17	81195210	9508	0.012	1
18	78077248	4718	0.006	0
19	59128983	8784	0.015	1
20	63025520	5369	0.009	0
21	48129895	2531	0.005	-1
22	51304566	4212	0.008	0
Odchylenie standardowe dla osobnika: 0.00225
