Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	715125	0.287	0
2	243199373	657366	0.27	0
3	198022430	513546	0.259	0
4	191154276	444102	0.232	-1
5	180915260	466892	0.258	0
6	171115067	473403	0.277	0
7	159138663	456576	0.287	0
8	146364022	399218	0.273	0
9	141213431	363201	0.257	0
10	135534747	429147	0.317	0
11	135006516	390144	0.289	0
12	133851895	388683	0.29	0
13	115169878	233469	0.203	-1
14	107349540	259864	0.242	0
15	102531392	262998	0.257	0
16	90354753	309081	0.342	0
17	81195210	311022	0.383	1
18	78077248	207817	0.266	0
19	59128983	264987	0.448	1
20	63025520	218816	0.347	1
21	48129895	167067	0.347	1
22	51304566	161548	0.315	0
Odchylenie standardowe dla osobnika: 0.05344
