Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1392145	0.559	0
2	243199373	1324933	0.545	0
3	198022430	1051523	0.531	0
4	191154276	927049	0.485	0
5	180915260	949407	0.525	0
6	171115067	974857	0.57	0
7	159138663	909723	0.572	0
8	146364022	817732	0.559	0
9	141213431	717736	0.508	0
10	135534747	896182	0.661	1
11	135006516	775347	0.574	0
12	133851895	773767	0.578	0
13	115169878	479147	0.416	-1
14	107349540	514403	0.479	0
15	102531392	514039	0.501	0
16	90354753	607857	0.673	1
17	81195210	575180	0.708	1
18	78077248	420635	0.539	0
19	59128983	481805	0.815	1
20	63025520	421123	0.668	1
21	48129895	216686	0.45	-1
22	51304566	291297	0.568	0
Odchylenie standardowe dla osobnika: 0.08922
