Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	204217	0.082	0
2	243199373	210976	0.087	0
3	198022430	169466	0.086	0
4	191154276	157147	0.082	0
5	180915260	152557	0.084	0
6	171115067	148710	0.087	0
7	159138663	135469	0.085	0
8	146364022	126226	0.086	0
9	141213431	101035	0.072	-1
10	135534747	120223	0.089	0
11	135006516	118850	0.088	0
12	133851895	118231	0.088	0
13	115169878	82284	0.071	-1
14	107349540	79927	0.074	-1
15	102531392	73077	0.071	-1
16	90354753	77911	0.086	0
17	81195210	78599	0.097	1
18	78077248	66586	0.085	0
19	59128983	62016	0.105	1
20	63025520	60308	0.096	1
21	48129895	34414	0.072	-1
22	51304566	36090	0.07	-1
Odchylenie standardowe dla osobnika: 0.00897
