Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	1676086	0.672	0
2	243199373	1570906	0.646	0
3	198022430	1238519	0.625	0
4	191154276	1100867	0.576	0
5	180915260	1116467	0.617	0
6	171115067	1131800	0.661	0
7	159138663	1085435	0.682	0
8	146364022	961431	0.657	0
9	141213431	853250	0.604	0
10	135534747	1062464	0.784	0
11	135006516	922476	0.683	0
12	133851895	926965	0.693	0
13	115169878	556983	0.484	-1
14	107349540	613419	0.571	0
15	102531392	616654	0.601	0
16	90354753	745544	0.825	1
17	81195210	714353	0.88	1
18	78077248	492773	0.631	0
19	59128983	611929	1.035	1
20	63025520	500877	0.795	0
21	48129895	257560	0.535	-1
22	51304566	353123	0.688	0
Odchylenie standardowe dla osobnika: 0.12004
