Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	22124	0.009	0
2	243199373	20529	0.008	0
3	198022430	16116	0.008	0
4	191154276	13379	0.007	0
5	180915260	14177	0.008	0
6	171115067	13647	0.008	0
7	159138663	14955	0.009	0
8	146364022	10778	0.007	0
9	141213431	10932	0.008	0
10	135534747	11723	0.009	0
11	135006516	11386	0.008	0
12	133851895	11981	0.009	0
13	115169878	6996	0.006	-1
14	107349540	9132	0.009	0
15	102531392	8192	0.008	0
16	90354753	9789	0.011	0
17	81195210	11181	0.014	1
18	78077248	6921	0.009	0
19	59128983	9918	0.017	1
20	63025520	6495	0.01	0
21	48129895	3644	0.008	0
22	51304566	4730	0.009	0
Odchylenie standardowe dla osobnika: 0.00233
