Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	442724	0.178	0
2	243199373	398006	0.164	0
3	198022430	315635	0.159	0
4	191154276	271309	0.142	0
5	180915260	285980	0.158	0
6	171115067	289405	0.169	0
7	159138663	286888	0.18	0
8	146364022	237629	0.162	0
9	141213431	225092	0.159	0
10	135534747	258991	0.191	0
11	135006516	229194	0.17	0
12	133851895	245871	0.184	0
13	115169878	144079	0.125	-1
14	107349540	160919	0.15	0
15	102531392	165262	0.161	0
16	90354753	193737	0.214	0
17	81195210	204020	0.251	1
18	78077248	124428	0.159	0
19	59128983	174974	0.296	1
20	63025520	130374	0.207	0
21	48129895	65928	0.137	-1
22	51304566	95515	0.186	0
Odchylenie standardowe dla osobnika: 0.03729
