Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	419312	0.168	0
2	243199373	426535	0.175	0
3	198022430	346179	0.175	0
4	191154276	313672	0.164	0
5	180915260	308855	0.171	0
6	171115067	299783	0.175	0
7	159138663	273033	0.172	0
8	146364022	257877	0.176	0
9	141213431	207396	0.147	-1
10	135534747	245797	0.181	0
11	135006516	246063	0.182	0
12	133851895	238654	0.178	0
13	115169878	163766	0.142	-1
14	107349540	161840	0.151	-1
15	102531392	148785	0.145	-1
16	90354753	159754	0.177	0
17	81195210	160359	0.197	1
18	78077248	135648	0.174	0
19	59128983	123172	0.208	1
20	63025520	125544	0.199	1
21	48129895	68578	0.142	-1
22	51304566	75633	0.147	-1
Odchylenie standardowe dla osobnika: 0.01806
