Numer chromosomu: 	Dlugosc chromosomu referyncyjneg: 	Dopasowane: 	Stopien pokrycia [%]: 	Decyzja: 	
1	249250621	82337	0.033	0
2	243199373	86024	0.035	0
3	198022430	68260	0.034	0
4	191154276	57283	0.03	0
5	180915260	59998	0.033	0
6	171115067	55197	0.032	0
7	159138663	56807	0.036	1
8	146364022	45352	0.031	0
9	141213431	42206	0.03	0
10	135534747	48076	0.035	0
11	135006516	44905	0.033	0
12	133851895	46377	0.035	0
13	115169878	31834	0.028	-1
14	107349540	31984	0.03	0
15	102531392	30219	0.029	-1
16	90354753	31332	0.035	0
17	81195210	31355	0.039	1
18	78077248	26189	0.034	0
19	59128983	19951	0.034	0
20	63025520	21808	0.035	0
21	48129895	12945	0.027	-1
22	51304566	12796	0.025	-1
Odchylenie standardowe dla osobnika: 0.00326
